Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
Shortness of Breath,Fever,Sneezing,Body Pain,Muscle Weakness,Tuberculosis
Fever,Chills,Shortness of Breath,High Fever,Nausea,Typhoid
Sneezing,Runny Nose,Nausea,Loss of Appetite,Swelling,Dengue
Chills,Vomiting,Cough,Sneezing,Abdominal Pain,Bronchitis
Runny Nose,Joint Pain,Swelling,Cough,Skin Rash,Asthma
Loss of Appetite,Chills,Muscle Weakness,Abdominal Pain,Fever,Bronchitis
Nausea,Abdominal Pain,Body Pain,High Fever,Fever,Chikungunya
Joint Pain,Loss of Appetite,Chest Pain,Skin Rash,Body Pain,Bronchitis
Sweating,Chills,Sore Throat,Swelling,Fever,Pneumonia
Fatigue,Runny Nose,Body Pain,Cough,Abdominal Pain,Flu
Body Pain,High Fever,Skin Rash,Chills,Cough,Dengue
Body Pain,Sneezing,Cough,Nausea,Muscle Weakness,Typhoid
Cough,Fever,Diarrhea,Sweating,Abdominal Pain,Chikungunya
High Fever,Shortness of Breath,Nausea,Sore Throat,Fever,Chikungunya
Muscle Weakness,Loss of Appetite,Sweating,Headache,High Fever,Flu
Muscle Weakness,Shortness of Breath,Fever,Skin Rash,Runny Nose,Dengue
Headache,Fatigue,Cough,Fever,Body Pain,Asthma
Chills,Skin Rash,Sore Throat,Fatigue,Abdominal Pain,Food Poisoning
Sweating,Nausea,Loss of Appetite,Body Pain,Sore Throat,Dengue
Chills,Shortness of Breath,Vomiting,Sore Throat,Abdominal Pain,Asthma
Sneezing,Swelling,Shortness of Breath,Headache,Joint Pain,COVID-19
Sweating,Muscle Weakness,Sore Throat,Joint Pain,Cough,COVID-19
Shortness of Breath,Sore Throat,Abdominal Pain,Dizziness,Skin Rash,Bronchitis
Fatigue,Diarrhea,Sweating,Shortness of Breath,Muscle Weakness,Dengue
Body Pain,Dizziness,Sore Throat,Fatigue,Sneezing,Food Poisoning
Diarrhea,Muscle Weakness,Chills,Joint Pain,Vomiting,Pneumonia
Nausea,Chills,Joint Pain,Skin Rash,Fatigue,COVID-19
Shortness of Breath,Sneezing,Headache,Cough,Runny Nose,Dengue
Sweating,Joint Pain,Abdominal Pain,Fever,Loss of Appetite,Bronchitis
Dizziness,Body Pain,Cough,Sweating,Shortness of Breath,Food Poisoning
Headache,Shortness of Breath,Sore Throat,High Fever,Chest Pain,Allergy
Dizziness,Fatigue,Sneezing,Diarrhea,Sore Throat,Cold
Swelling,Body Pain,Loss of Appetite,Chest Pain,Runny Nose,Dengue
Sneezing,High Fever,Chills,Cough,Fatigue,Typhoid
Abdominal Pain,Fever,Dizziness,Skin Rash,Sneezing,Cold
Swelling,Diarrhea,Fatigue,Headache,Chest Pain,Dengue
Shortness of Breath,Fever,Body Pain,Cough,Sore Throat,Bronchitis
Fatigue,Diarrhea,Sneezing,Shortness of Breath,Sore Throat,Dengue
Runny Nose,Abdominal Pain,Dizziness,Joint Pain,Shortness of Breath,Food Poisoning
Headache,Muscle Weakness,Vomiting,Diarrhea,Cough,Pneumonia
Skin Rash,Muscle Weakness,Abdominal Pain,Shortness of Breath,Chest Pain,Tuberculosis
Chest Pain,Vomiting,Runny Nose,Swelling,Fever,Flu
Vomiting,Nausea,Sneezing,Diarrhea,Fever,Flu
Diarrhea,Muscle Weakness,Sweating,Skin Rash,Joint Pain,Malaria
Cough,Chills,Sneezing,Shortness of Breath,Dizziness,Chikungunya
Fever,Abdominal Pain,Sore Throat,Dizziness,Loss of Appetite,Cold
Diarrhea,Fever,Dizziness,Runny Nose,Loss of Appetite,Flu
Shortness of Breath,Swelling,Joint Pain,High Fever,Nausea,Malaria
Vomiting,Cough,Sweating,Headache,Shortness of Breath,Typhoid
Sore Throat,Diarrhea,Body Pain,Sweating,Sneezing,Pneumonia
Body Pain,Sweating,Loss of Appetite,Shortness of Breath,High Fever,Food Poisoning
Chest Pain,Muscle Weakness,Joint Pain,Sweating,Sore Throat,Allergy
Cough,Shortness of Breath,Vomiting,Fever,Joint Pain,Pneumonia
Fever,Dizziness,Cough,Runny Nose,Body Pain,Dengue
Swelling,Joint Pain,Loss of Appetite,Sweating,Headache,COVID-19
Chills,Joint Pain,Swelling,Abdominal Pain,Muscle Weakness,Bronchitis
Sneezing,Joint Pain,Shortness of Breath,Body Pain,High Fever,Tuberculosis
Muscle Weakness,Vomiting,High Fever,Shortness of Breath,Loss of Appetite,Bronchitis
Runny Nose,Joint Pain,Swelling,Body Pain,Dizziness,Pneumonia
Sweating,Sore Throat,Sneezing,Fatigue,High Fever,Pneumonia
Vomiting,Fatigue,Muscle Weakness,Shortness of Breath,Chest Pain,Food Poisoning
Cough,Chills,Body Pain,Runny Nose,Fatigue,COVID-19
Runny Nose,Chills,Fatigue,Sore Throat,Chest Pain,Dengue
Body Pain,Muscle Weakness,Nausea,Headache,Chills,Typhoid
Fatigue,Cough,Body Pain,Fever,Shortness of Breath,Malaria
High Fever,Shortness of Breath,Muscle Weakness,Sneezing,Cough,Asthma
Chest Pain,Headache,Body Pain,Shortness of Breath,Muscle Weakness,Flu
Body Pain,Fatigue,Loss of Appetite,Joint Pain,Diarrhea,Malaria
Abdominal Pain,Sweating,Vomiting,Chills,Chest Pain,COVID-19
Nausea,Chills,Headache,Loss of Appetite,Fever,Cold
Fever,Joint Pain,Vomiting,High Fever,Sneezing,Bronchitis
Nausea,Swelling,Chills,Sore Throat,Chest Pain,COVID-19
Nausea,Sneezing,Headache,Swelling,Sore Throat,Allergy
Skin Rash,Joint Pain,Nausea,Cough,Shortness of Breath,Cold
Sore Throat,Headache,Skin Rash,Chest Pain,Fatigue,Chikungunya
High Fever,Sweating,Skin Rash,Vomiting,Cough,Asthma
Fatigue,Nausea,Abdominal Pain,Chest Pain,Sweating,Flu
Joint Pain,Swelling,Diarrhea,Nausea,Loss of Appetite,Typhoid
Vomiting,Chest Pain,Muscle Weakness,Body Pain,Chills,COVID-19
Dizziness,Headache,Shortness of Breath,Abdominal Pain,Chest Pain,Dengue
Skin Rash,Body Pain,Joint Pain,Fever,Abdominal Pain,Dengue
Abdominal Pain,Swelling,Headache,Dizziness,Muscle Weakness,Chikungunya
Joint Pain,Body Pain,High Fever,Diarrhea,Nausea,Asthma
Dizziness,Fatigue,Vomiting,Sweating,Joint Pain,Bronchitis
Muscle Weakness,Sweating,Swelling,Fever,High Fever,Asthma
Abdominal Pain,Body Pain,Runny Nose,High Fever,Shortness of Breath,COVID-19
Sneezing,Chest Pain,Swelling,Abdominal Pain,Muscle Weakness,Cold
Fatigue,Dizziness,Cough,Joint Pain,Sneezing,Pneumonia
Joint Pain,Sneezing,Abdominal Pain,Cough,Muscle Weakness,Chikungunya
Runny Nose,Diarrhea,Vomiting,Loss of Appetite,Fever,Bronchitis
Chest Pain,Cough,Sweating,Chills,High Fever,COVID-19
Headache,Chest Pain,Body Pain,Dizziness,Swelling,Bronchitis
Fatigue,Chest Pain,Vomiting,Sneezing,Swelling,Tuberculosis
Nausea,Sweating,Sore Throat,Chest Pain,Sneezing,Dengue
Joint Pain,Fatigue,Abdominal Pain,Loss of Appetite,Muscle Weakness,Allergy
Runny Nose,Chest Pain,Diarrhea,Chills,Muscle Weakness,Malaria
Cough,Abdominal Pain,Nausea,Swelling,Sweating,Allergy
Muscle Weakness,Runny Nose,Skin Rash,Abdominal Pain,Shortness of Breath,Typhoid
Chills,Sneezing,Skin Rash,Muscle Weakness,Chest Pain,Tuberculosis
Cough,Joint Pain,Body Pain,Vomiting,Sore Throat,Allergy
Cough,Dizziness,Fever,Runny Nose,Swelling,Chikungunya
Joint Pain,Chills,Sore Throat,Loss of Appetite,Abdominal Pain,Dengue
Chills,Skin Rash,Body Pain,Nausea,Runny Nose,Tuberculosis
Sweating,Loss of Appetite,Vomiting,High Fever,Headache,Pneumonia
Vomiting,Loss of Appetite,Joint Pain,Swelling,Chills,Flu
High Fever,Cough,Fatigue,Nausea,Sweating,COVID-19
Loss of Appetite,Sore Throat,Joint Pain,Sneezing,Headache,Food Poisoning
Swelling,Chills,Abdominal Pain,Headache,Shortness of Breath,Allergy
High Fever,Nausea,Skin Rash,Shortness of Breath,Sneezing,Flu
Chest Pain,Headache,Vomiting,Fever,Skin Rash,Bronchitis
Nausea,Joint Pain,Fever,Cough,Fatigue,Flu
Skin Rash,Abdominal Pain,Loss of Appetite,Sore Throat,Sweating,Dengue
Dizziness,Chills,Sneezing,Chest Pain,Diarrhea,Typhoid
Sweating,Joint Pain,Chills,Skin Rash,Cough,Malaria
Swelling,Fever,Runny Nose,Vomiting,Diarrhea,Flu
Skin Rash,Fever,Muscle Weakness,Nausea,Runny Nose,Typhoid
Vomiting,Sneezing,Body Pain,Fatigue,Abdominal Pain,Bronchitis
Cough,Sneezing,Sweating,Muscle Weakness,Joint Pain,Flu
Vomiting,Swelling,Loss of Appetite,Joint Pain,Abdominal Pain,Typhoid
Dizziness,Diarrhea,Runny Nose,Sore Throat,Body Pain,Food Poisoning
Dizziness,Cough,Skin Rash,Muscle Weakness,Loss of Appetite,Chikungunya
Sore Throat,Chest Pain,Nausea,Vomiting,Fatigue,Pneumonia
Fatigue,Body Pain,Shortness of Breath,Sneezing,Cough,Cold
Cough,Sore Throat,Nausea,Loss of Appetite,Runny Nose,Flu
Runny Nose,Muscle Weakness,Shortness of Breath,Dizziness,Skin Rash,Flu
Cough,Skin Rash,Chills,Muscle Weakness,Nausea,Typhoid
Cough,Abdominal Pain,Dizziness,Sore Throat,Fatigue,Bronchitis
High Fever,Runny Nose,Sweating,Joint Pain,Sore Throat,Dengue
Loss of Appetite,High Fever,Sweating,Muscle Weakness,Chills,Flu
Skin Rash,Sore Throat,Dizziness,Shortness of Breath,Sweating,Pneumonia
Nausea,Runny Nose,Shortness of Breath,Joint Pain,Skin Rash,Typhoid
Abdominal Pain,Runny Nose,Swelling,Sore Throat,Chills,COVID-19
Chills,Chest Pain,Fever,Nausea,Cough,Pneumonia
Fever,Headache,Chest Pain,Nausea,Sweating,COVID-19
Chest Pain,Fatigue,Loss of Appetite,Cough,Vomiting,Flu
Runny Nose,Sneezing,High Fever,Skin Rash,Sweating,Asthma
Abdominal Pain,Dizziness,Shortness of Breath,Fatigue,Body Pain,Bronchitis
Sneezing,Swelling,Nausea,Runny Nose,Diarrhea,Flu
Body Pain,Nausea,Sweating,Dizziness,Chills,Flu
Diarrhea,Sneezing,Sore Throat,Swelling,Fever,Typhoid
Fever,Diarrhea,Body Pain,Sore Throat,Chills,Pneumonia
Body Pain,Shortness of Breath,Abdominal Pain,Sweating,Cough,Food Poisoning
Sore Throat,Muscle Weakness,Body Pain,Headache,High Fever,Tuberculosis
Chills,Joint Pain,Sweating,Headache,Sore Throat,Tuberculosis
Loss of Appetite,Nausea,Fatigue,Muscle Weakness,High Fever,Allergy
Diarrhea,Body Pain,Dizziness,Headache,Swelling,Tuberculosis
Body Pain,Headache,Dizziness,Chills,Diarrhea,Asthma
Dizziness,Cough,Loss of Appetite,High Fever,Nausea,Cold
Body Pain,Sweating,Chills,Sneezing,Fatigue,Malaria
Body Pain,Sweating,Abdominal Pain,Fatigue,Chest Pain,Asthma
Body Pain,Runny Nose,Sweating,Dizziness,Fever,Food Poisoning
Fatigue,Sneezing,Nausea,Body Pain,Chest Pain,Bronchitis
Abdominal Pain,Shortness of Breath,Sneezing,Headache,Runny Nose,Chikungunya
Fever,Runny Nose,Muscle Weakness,Chills,Nausea,Flu
Cough,Abdominal Pain,Sweating,Sneezing,Headache,Malaria
Skin Rash,Diarrhea,Loss of Appetite,Sneezing,High Fever,Chikungunya
Dizziness,Cough,Diarrhea,Swelling,Runny Nose,Pneumonia
Fever,Headache,Sweating,Chest Pain,Dizziness,Asthma
Skin Rash,Chills,Muscle Weakness,Joint Pain,Abdominal Pain,Flu
Fever,Headache,Shortness of Breath,Sore Throat,Muscle Weakness,Chikungunya
Chills,Nausea,Muscle Weakness,Fever,Swelling,Flu
Loss of Appetite,Headache,Chills,Diarrhea,Fever,Bronchitis
Skin Rash,Loss of Appetite,Sweating,Fatigue,Fever,Dengue
Swelling,Diarrhea,Body Pain,Sneezing,Shortness of Breath,Malaria
Sweating,Cough,Joint Pain,Vomiting,Runny Nose,Asthma
Chills,Sneezing,Fatigue,Swelling,Sweating,Dengue
Abdominal Pain,Nausea,Chest Pain,Swelling,Muscle Weakness,Bronchitis
Abdominal Pain,Fatigue,Chills,Diarrhea,Chest Pain,Chikungunya
Fever,High Fever,Muscle Weakness,Shortness of Breath,Body Pain,Dengue
Chills,Joint Pain,Sneezing,Fatigue,Fever,Asthma
Loss of Appetite,Body Pain,Dizziness,Headache,Abdominal Pain,Allergy
Runny Nose,Fatigue,Loss of Appetite,Sneezing,Chills,Chikungunya
Loss of Appetite,Nausea,Dizziness,Skin Rash,Swelling,Dengue
Dizziness,Cough,Skin Rash,Loss of Appetite,Runny Nose,Dengue
Sore Throat,Swelling,Runny Nose,Skin Rash,Shortness of Breath,Tuberculosis
Sore Throat,Chest Pain,Joint Pain,Body Pain,Nausea,Typhoid
Body Pain,Runny Nose,Joint Pain,Swelling,Loss of Appetite,Chikungunya
Cough,High Fever,Abdominal Pain,Fever,Swelling,COVID-19
Cough,Chills,Sweating,Skin Rash,Loss of Appetite,Bronchitis
Fatigue,Nausea,Chest Pain,Sore Throat,Loss of Appetite,Chikungunya
Headache,Runny Nose,Nausea,Chills,Sweating,Pneumonia
Sore Throat,Dizziness,Body Pain,Nausea,Loss of Appetite,Malaria
Sweating,Headache,Fever,Dizziness,Loss of Appetite,COVID-19
Sweating,Swelling,Skin Rash,Sore Throat,Runny Nose,Dengue
Cough,Muscle Weakness,Swelling,Joint Pain,Chills,Dengue
Chest Pain,Shortness of Breath,Nausea,Sneezing,Fever,Malaria
Abdominal Pain,Chest Pain,Sneezing,Nausea,Joint Pain,Food Poisoning
Shortness of Breath,Diarrhea,Sore Throat,Chills,Nausea,Bronchitis
High Fever,Body Pain,Shortness of Breath,Sneezing,Cough,Chikungunya
Chest Pain,Swelling,Vomiting,Abdominal Pain,Muscle Weakness,Malaria
Headache,Diarrhea,Swelling,Sweating,Abdominal Pain,Chikungunya
Skin Rash,Body Pain,Nausea,Abdominal Pain,Runny Nose,Tuberculosis
Dizziness,Joint Pain,Abdominal Pain,Sore Throat,Loss of Appetite,Allergy
Skin Rash,Sweating,Muscle Weakness,Body Pain,Chest Pain,Food Poisoning
Fatigue,High Fever,Sneezing,Vomiting,Chest Pain,Chikungunya
Muscle Weakness,Fever,Runny Nose,Loss of Appetite,Dizziness,Flu
Joint Pain,Swelling,Loss of Appetite,Fatigue,Fever,Food Poisoning
Cough,High Fever,Abdominal Pain,Chest Pain,Fatigue,Typhoid
Nausea,Skin Rash,Cough,Fatigue,High Fever,Malaria
Muscle Weakness,Body Pain,Chills,Joint Pain,Runny Nose,Chikungunya
Skin Rash,Headache,Fatigue,Joint Pain,Cough,COVID-19
Muscle Weakness,Diarrhea,Fever,Chest Pain,High Fever,Allergy
Dizziness,Swelling,Chills,Cough,Sneezing,Dengue
Loss of Appetite,Fever,Cough,Body Pain,Vomiting,Chikungunya
Sweating,High Fever,Abdominal Pain,Muscle Weakness,Swelling,Cold
Fever,Diarrhea,Dizziness,Headache,Fatigue,Cold
Sweating,Sore Throat,Vomiting,Loss of Appetite,Skin Rash,Typhoid
High Fever,Fever,Fatigue,Headache,Muscle Weakness,Cold
Skin Rash,Swelling,Diarrhea,Abdominal Pain,Headache,Typhoid
Cough,Swelling,Sneezing,Loss of Appetite,Skin Rash,Bronchitis
Joint Pain,Loss of Appetite,High Fever,Sneezing,Skin Rash,Asthma
Diarrhea,Muscle Weakness,Sore Throat,Cough,Fever,Dengue
Skin Rash,Chest Pain,Swelling,Muscle Weakness,High Fever,Flu
Skin Rash,Chills,Sore Throat,Sneezing,Cough,Chikungunya
Fever,Headache,Sneezing,Fatigue,Joint Pain,Malaria
Swelling,Runny Nose,Sweating,Muscle Weakness,Sneezing,Malaria
Skin Rash,Nausea,Abdominal Pain,Shortness of Breath,Fatigue,Typhoid
Sore Throat,Muscle Weakness,Diarrhea,Chest Pain,Vomiting,Typhoid
Muscle Weakness,Chills,Dizziness,Cough,Sweating,Allergy
Dizziness,Diarrhea,Sneezing,Loss of Appetite,Swelling,Tuberculosis
Body Pain,High Fever,Skin Rash,Fatigue,Sneezing,Pneumonia
Diarrhea,Sore Throat,Nausea,High Fever,Chest Pain,Malaria
Fever,Skin Rash,Joint Pain,Runny Nose,Nausea,Typhoid
Sneezing,High Fever,Swelling,Sweating,Chills,COVID-19
Nausea,Muscle Weakness,Abdominal Pain,Vomiting,Headache,Flu
Nausea,Muscle Weakness,Sneezing,Swelling,Chills,COVID-19
Chills,Abdominal Pain,Skin Rash,Muscle Weakness,Headache,Flu
Shortness of Breath,Vomiting,Skin Rash,High Fever,Sore Throat,Pneumonia
Nausea,Headache,Muscle Weakness,Cough,Vomiting,COVID-19
Joint Pain,High Fever,Skin Rash,Fatigue,Sneezing,COVID-19
Skin Rash,Chills,Sneezing,Shortness of Breath,Fatigue,Tuberculosis
Swelling,High Fever,Body Pain,Shortness of Breath,Sneezing,COVID-19
Fatigue,Chills,Sweating,Cough,Nausea,Food Poisoning
Shortness of Breath,Runny Nose,Dizziness,Sweating,Diarrhea,Food Poisoning
Skin Rash,Fatigue,Body Pain,Sore Throat,Chills,Malaria
Abdominal Pain,Loss of Appetite,Sweating,Chills,Runny Nose,Pneumonia
Runny Nose,Shortness of Breath,Joint Pain,Vomiting,Sneezing,Typhoid
Vomiting,Dizziness,Fatigue,Sore Throat,Sweating,Flu
Dizziness,Cough,Diarrhea,Fever,Headache,Cold
Sore Throat,Dizziness,Chest Pain,Sneezing,Headache,Chikungunya
Fatigue,Fever,Sweating,Vomiting,Chills,Asthma
Fatigue,Vomiting,Sore Throat,Nausea,Sweating,Flu
High Fever,Chest Pain,Runny Nose,Shortness of Breath,Fatigue,Food Poisoning
Joint Pain,Dizziness,Vomiting,Shortness of Breath,Muscle Weakness,Pneumonia
Abdominal Pain,Runny Nose,Skin Rash,Swelling,Shortness of Breath,COVID-19
High Fever,Nausea,Sweating,Diarrhea,Fatigue,Malaria
Joint Pain,Sweating,Headache,Loss of Appetite,Chest Pain,Food Poisoning
Body Pain,Chills,Runny Nose,Nausea,Chest Pain,Food Poisoning
Muscle Weakness,Cough,Body Pain,Runny Nose,Sweating,Malaria
Body Pain,Joint Pain,Runny Nose,Swelling,Shortness of Breath,Flu
Runny Nose,Abdominal Pain,Chest Pain,Swelling,Sneezing,Dengue
Swelling,Abdominal Pain,Shortness of Breath,Joint Pain,Dizziness,Food Poisoning
Body Pain,High Fever,Chills,Loss of Appetite,Shortness of Breath,Tuberculosis
Headache,Runny Nose,High Fever,Muscle Weakness,Skin Rash,Typhoid
Sweating,Chest Pain,Swelling,Nausea,Vomiting,Asthma
Joint Pain,Fever,Muscle Weakness,Body Pain,Loss of Appetite,Dengue
Runny Nose,Loss of Appetite,Headache,Swelling,Dizziness,Cold
Sore Throat,Body Pain,Runny Nose,Diarrhea,Shortness of Breath,Food Poisoning
High Fever,Runny Nose,Sore Throat,Fever,Abdominal Pain,Pneumonia
Diarrhea,Sore Throat,Fever,Headache,Nausea,Chikungunya
Diarrhea,Nausea,Sneezing,Body Pain,Fever,Allergy
Fever,Muscle Weakness,Sore Throat,Vomiting,Headache,Allergy
Cough,Swelling,Abdominal Pain,Joint Pain,Nausea,Cold
Vomiting,Fever,Diarrhea,Runny Nose,Cough,Asthma
Dizziness,Skin Rash,Nausea,Sweating,Loss of Appetite,Typhoid
Skin Rash,Headache,Muscle Weakness,Joint Pain,Vomiting,Cold
Abdominal Pain,Dizziness,Shortness of Breath,Sneezing,Fatigue,Allergy
Dizziness,Headache,Cough,Sneezing,Body Pain,Cold
Body Pain,Cough,Fever,Skin Rash,Nausea,COVID-19
Chest Pain,Runny Nose,Skin Rash,Swelling,Loss of Appetite,Cold
Diarrhea,Sore Throat,Loss of Appetite,Body Pain,Nausea,Allergy
Nausea,High Fever,Loss of Appetite,Sweating,Fatigue,Pneumonia
High Fever,Muscle Weakness,Loss of Appetite,Skin Rash,Chest Pain,Allergy
Muscle Weakness,Diarrhea,Joint Pain,Loss of Appetite,Chest Pain,Chikungunya
Skin Rash,Body Pain,Cough,Sneezing,Fever,Bronchitis
Diarrhea,Nausea,Fatigue,Joint Pain,Headache,COVID-19
Shortness of Breath,Sore Throat,Fever,Headache,Joint Pain,Bronchitis
Muscle Weakness,Dizziness,Vomiting,High Fever,Fatigue,Typhoid
Sweating,Runny Nose,Sore Throat,Diarrhea,Vomiting,Food Poisoning
Chills,Fever,Chest Pain,Dizziness,Muscle Weakness,Flu
Joint Pain,Fever,Loss of Appetite,Sore Throat,Cough,Tuberculosis
Abdominal Pain,Shortness of Breath,Skin Rash,Vomiting,Cough,Chikungunya
Cough,Muscle Weakness,High Fever,Skin Rash,Chills,Dengue
Joint Pain,Skin Rash,Headache,Fatigue,Swelling,Malaria
Fatigue,Abdominal Pain,Cough,Swelling,Skin Rash,Bronchitis
Nausea,Runny Nose,High Fever,Sneezing,Swelling,COVID-19
Fever,Loss of Appetite,Muscle Weakness,Sweating,Shortness of Breath,Cold
Loss of Appetite,Chills,Fever,Dizziness,Fatigue,Flu
Cough,Swelling,Skin Rash,Sweating,Loss of Appetite,Cold
Shortness of Breath,Diarrhea,Chest Pain,Joint Pain,Sore Throat,Asthma
Loss of Appetite,Sore Throat,Skin Rash,Body Pain,High Fever,Allergy
Chills,Sore Throat,Loss of Appetite,Chest Pain,Dizziness,Pneumonia
Muscle Weakness,Sneezing,Chest Pain,Body Pain,Abdominal Pain,Typhoid
Runny Nose,Dizziness,Loss of Appetite,Skin Rash,High Fever,Tuberculosis
High Fever,Body Pain,Runny Nose,Sore Throat,Sneezing,Chikungunya
Loss of Appetite,Swelling,Dizziness,Vomiting,Sore Throat,Food Poisoning
Fatigue,Joint Pain,Muscle Weakness,Vomiting,Diarrhea,Typhoid
Loss of Appetite,Headache,Fatigue,Joint Pain,Sweating,Allergy
Vomiting,Loss of Appetite,Headache,Fatigue,Sore Throat,Pneumonia
Shortness of Breath,Sweating,Cough,Swelling,Loss of Appetite,Pneumonia
Loss of Appetite,Fatigue,Abdominal Pain,Joint Pain,Runny Nose,Bronchitis
Vomiting,Loss of Appetite,Chest Pain,Abdominal Pain,Nausea,Asthma
Vomiting,Sore Throat,Cough,Joint Pain,Skin Rash,Chikungunya
Runny Nose,Headache,Sweating,Chills,Vomiting,Allergy
Dizziness,Joint Pain,Cough,Sweating,High Fever,Tuberculosis
Sweating,Muscle Weakness,Headache,Vomiting,Body Pain,Pneumonia
Diarrhea,Shortness of Breath,Headache,Chest Pain,Dizziness,Food Poisoning
Sneezing,Muscle Weakness,Body Pain,Runny Nose,Sore Throat,Typhoid
Sweating,Headache,Chills,Body Pain,Skin Rash,Flu
Dizziness,High Fever,Joint Pain,Diarrhea,Sore Throat,Cold
Dizziness,Loss of Appetite,Headache,Vomiting,High Fever,Cold
Cough,Vomiting,Nausea,Muscle Weakness,Abdominal Pain,Food Poisoning
Headache,Body Pain,Runny Nose,Dizziness,Fever,Tuberculosis
Skin Rash,Sneezing,Sweating,Joint Pain,Chest Pain,Asthma
Chest Pain,Chills,High Fever,Nausea,Fatigue,COVID-19
Fever,Headache,Chest Pain,Vomiting,Cough,Flu
Loss of Appetite,Sweating,Fever,Chills,Muscle Weakness,Pneumonia
Muscle Weakness,High Fever,Joint Pain,Chest Pain,Sore Throat,Dengue
Nausea,Diarrhea,Swelling,Sweating,Loss of Appetite,Dengue
Swelling,Runny Nose,High Fever,Chest Pain,Joint Pain,Flu
Runny Nose,Nausea,Sneezing,Joint Pain,Abdominal Pain,Allergy
Nausea,High Fever,Skin Rash,Abdominal Pain,Sweating,Dengue
Swelling,Vomiting,Skin Rash,Cough,Abdominal Pain,Flu
Muscle Weakness,Vomiting,Body Pain,Joint Pain,Loss of Appetite,Allergy
Headache,Sore Throat,Shortness of Breath,Swelling,Loss of Appetite,Pneumonia
Skin Rash,Chest Pain,Swelling,Runny Nose,Headache,Food Poisoning
Shortness of Breath,Swelling,Skin Rash,High Fever,Abdominal Pain,Chikungunya
Vomiting,Loss of Appetite,Runny Nose,Diarrhea,High Fever,Dengue
Sweating,Skin Rash,High Fever,Fatigue,Chest Pain,Food Poisoning
Dizziness,Fatigue,Swelling,Sore Throat,Chills,COVID-19
Fever,Shortness of Breath,Diarrhea,Body Pain,Abdominal Pain,Bronchitis
Skin Rash,Muscle Weakness,Sore Throat,Loss of Appetite,Dizziness,Allergy
Sweating,Vomiting,Swelling,Chills,Shortness of Breath,Pneumonia
Muscle Weakness,Sore Throat,Diarrhea,Vomiting,Shortness of Breath,Typhoid
Runny Nose,Sore Throat,Sweating,Dizziness,Headache,COVID-19
Fatigue,Loss of Appetite,Muscle Weakness,High Fever,Cough,Cold
Sneezing,Fever,Sore Throat,Body Pain,Swelling,Flu
Fever,Sweating,Runny Nose,Diarrhea,Headache,Allergy
Swelling,Chest Pain,Abdominal Pain,Cough,Joint Pain,Cold
Chills,Fever,Diarrhea,Shortness of Breath,Vomiting,Bronchitis
Joint Pain,Skin Rash,Sweating,Chest Pain,Fever,Chikungunya
Sneezing,Fever,High Fever,Headache,Body Pain,COVID-19
Chills,Sore Throat,Joint Pain,Sneezing,Dizziness,Bronchitis
Body Pain,Chest Pain,Cough,Shortness of Breath,Fatigue,Allergy
Sweating,Body Pain,Headache,Chills,Skin Rash,Typhoid
High Fever,Vomiting,Body Pain,Cough,Fever,Cold
Loss of Appetite,Sneezing,Skin Rash,Fatigue,Fever,Dengue
Chills,Cough,Headache,Sore Throat,Sneezing,Pneumonia
Fever,High Fever,Loss of Appetite,Diarrhea,Vomiting,Dengue
Fatigue,Dizziness,Fever,Sore Throat,Loss of Appetite,Chikungunya
Swelling,Body Pain,Headache,Sweating,Chest Pain,Allergy
Abdominal Pain,Body Pain,Swelling,High Fever,Sweating,Typhoid
Vomiting,Chest Pain,Sneezing,Nausea,Loss of Appetite,Chikungunya
Skin Rash,Nausea,Abdominal Pain,Joint Pain,Sneezing,Chikungunya
Chest Pain,Chills,Cough,Runny Nose,Nausea,Bronchitis
Loss of Appetite,Sneezing,Joint Pain,Chills,Sore Throat,Dengue
Sore Throat,Sweating,Shortness of Breath,Swelling,Chest Pain,Pneumonia
Fever,Chills,Headache,Swelling,Sore Throat,Flu
Vomiting,Diarrhea,Fatigue,Dizziness,Swelling,Bronchitis
Swelling,Body Pain,Nausea,Chills,Fever,Malaria
Sore Throat,Loss of Appetite,Skin Rash,Swelling,Runny Nose,Bronchitis
High Fever,Sweating,Swelling,Runny Nose,Nausea,Dengue
Sweating,Abdominal Pain,Runny Nose,Skin Rash,Sore Throat,Cold
Swelling,Muscle Weakness,Sneezing,Sweating,Cough,Malaria
Sneezing,Swelling,Headache,Sweating,Fatigue,Malaria
Loss of Appetite,Sneezing,Nausea,Diarrhea,Cough,Tuberculosis
Diarrhea,High Fever,Sore Throat,Chills,Sweating,Typhoid
Swelling,Dizziness,Cough,Chills,Vomiting,Dengue
High Fever,Chills,Dizziness,Vomiting,Cough,Tuberculosis
Sneezing,Chest Pain,Chills,Cough,Joint Pain,Food Poisoning
Sore Throat,Nausea,Sweating,Chest Pain,Dizziness,Allergy
High Fever,Headache,Loss of Appetite,Skin Rash,Sweating,Typhoid
Fatigue,Diarrhea,Joint Pain,Sweating,Shortness of Breath,Malaria
Muscle Weakness,Fever,Skin Rash,Cough,Vomiting,Pneumonia
Chest Pain,Joint Pain,Swelling,Skin Rash,Sweating,Typhoid
Diarrhea,Muscle Weakness,High Fever,Cough,Fever,Food Poisoning
Body Pain,Sneezing,Skin Rash,Nausea,Joint Pain,Malaria
