Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease,AnimalName
Vomiting,Diarrhea,Stomach cramps,Nausea,Fever,Food Poisoning,Buffaloes
Weakness,Dehydration,Vomiting,Nausea,Stomach cramps,Food Poisoning,Birds
Sneezing,Runny nose,Mild cough,Mild fatigue,Mild fever,Cold,Monkey
Nausea,Stomach cramps,Weakness,Vomiting,Fever,Food Poisoning,Mammal
Chills,Headache,Runny nose,Muscle or body aches,Vomiting,Flu,Fowl
Itchy eyes,Runny nose,Swelling,Skin rash,Sneezing,Allergy,Donkey
Weakness,Diarrhea,Prolonged high fever,Constipation,Rose-colored spots,Typhoid,Monkey
Nausea,Muscle pain,Sweating,Vomiting,Headache,Malaria,Hyaenas
Runny nose,Itchy eyes,Sneezing,Skin rash,Swelling,Allergy,Rabbit
Runny nose,Mild fatigue,Mild fever,Mild cough,Sore throat,Cold,Birds
Chills,Dry Cough,Runny nose,Muscle or body aches,Vomiting,Flu,Turtle
Night sweats,Weight loss,Persistent cough,Blood in cough,Loss of appetite,Tuberculosis,Fowl
Diarrhea,Loss of taste or smell,Fever,Shortness of breath,Muscle aches,COVID-19,Mammal
Muscle or body aches,Headache,Dry Cough,Chills,Fever,Flu,Donkey
Dehydration,Diarrhea,Fever,Weakness,Stomach cramps,Food Poisoning,Cat
Chills,Sore throat,Muscle or body aches,Dry Cough,Diarrhea,Flu,Hyaenas
Fatigue,Shortness of breath,Nausea,Congestion,Sore throat,COVID-19,Mammal
Anemia,Headache,Nausea,Sweating,Vomiting,Malaria,Birds
Sneezing,Swelling,Itchy eyes,Runny nose,Skin rash,Allergy,Deer
Congestion,Diarrhea,Fatigue,Muscle aches,Nausea,COVID-19,Sheep
Sneezing,Skin rash,Swelling,Runny nose,Itchy eyes,Allergy,Tiger
Sneezing,Mild fatigue,Sore throat,Mild fever,Runny nose,Cold,Turtle
Prolonged high fever,Abdominal pain,Headache,Weakness,Rose-colored spots,Typhoid,Duck
Loss of taste or smell,Muscle aches,Sore throat,Dry cough,Chills,COVID-19,Chicken
Dry Cough,Sore throat,Headache,Runny nose,Fever,Flu,Turtle
Wheezing,Chest tightness,Shortness of breath,Coughing,None,Asthma,Cow
Prolonged high fever,Weakness,Fatigue,Headache,Rose-colored spots,Typhoid,Fowl
Constipation,Prolonged high fever,Fatigue,Diarrhea,Weakness,Typhoid,Duck
Itchy eyes,Runny nose,Skin rash,Swelling,Sneezing,Allergy,Monkey
Muscle aches,Dry cough,Chills,Shortness of breath,Nausea,COVID-19,Deer
Mild fever,Chills,Wheezing,Persistent cough with mucus,Chest discomfort,Bronchitis,Elephant
High fever,Chest pain,Chills,Fatigue,Shortness of breath,Pneumonia,Hamster
Skin rash,Runny nose,Itchy eyes,Sneezing,Swelling,Allergy,Lion
Chills,Chest pain,Shortness of breath,Fatigue,Cough with phlegm,Pneumonia,Buffaloes
High fever,Chest pain,Chills,Confusion,Fatigue,Pneumonia,Hyaenas
Mild fatigue,Runny nose,Sneezing,Mild fever,Sore throat,Cold,Donkey
High fever,Confusion,Shortness of breath,Fatigue,Chills,Pneumonia,Elephant
Rose-colored spots,Headache,Fatigue,Weakness,Abdominal pain,Typhoid,Deer
Sore throat,Mild fatigue,Mild cough,Mild fever,Sneezing,Cold,Snake
Sneezing,Swelling,Runny nose,Itchy eyes,Skin rash,Allergy,Mammal
Constipation,Diarrhea,Weakness,Abdominal pain,Prolonged high fever,Typhoid,Hamster
Loss of taste or smell,Congestion,Sore throat,Fatigue,Chills,COVID-19,Turtle
Sore throat,Mild cough,Mild fatigue,Sneezing,Runny nose,Cold,Donkey
Rose-colored spots,Headache,Weakness,Fatigue,Constipation,Typhoid,Buffaloes
Coughing,Chest tightness,Wheezing,Shortness of breath,None,Asthma,Moos
Muscle or body aches,Vomiting,Fever,Sore throat,Dry Cough,Flu,Dog
Rash,Severe joint pain,Headache,Muscle pain,Nausea,Chikungunya,Horse
Fever (evening),Loss of appetite,Persistent cough,Blood in cough,Fatigue,Tuberculosis,Wolves
Mild fatigue,Runny nose,Sore throat,Sneezing,Mild fever,Cold,Turtle
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Cattle
Loss of taste or smell,Nausea,Chills,Fatigue,Fever,COVID-19,Horse
Weakness,Bloody diarrhea,Vomiting,Stomach cramps,Nausea,Food Poisoning,Fox
Severe headache,Rash,Sudden high fever,Pain behind the eyes,Muscle and joint pain,Dengue,Hamster
Chills,Congestion,Fatigue,Dry cough,Muscle aches,COVID-19,Hamster
Headache,Sweating,Muscle pain,Fatigue,Jaundice,Malaria,Duck
High fever with chills,Fatigue,Nausea,Vomiting,Headache,Malaria,Cattle
Weight loss,Night sweats,Blood in cough,Loss of appetite,Fever (evening),Tuberculosis,Tiger
Mild fever,Runny nose,Sore throat,Mild cough,Mild fatigue,Cold,Buffaloes
Loss of taste or smell,Nausea,Fatigue,Muscle aches,Sore throat,COVID-19,Horse
Vomiting,Headache,Dry Cough,Chills,Muscle or body aches,Flu,Hamster
Runny nose,Mild fever,Mild fatigue,Mild cough,Sneezing,Cold,Cattle
Sneezing,Runny nose,Skin rash,Swelling,Itchy eyes,Allergy,Monkey
Skin rash,Sneezing,Itchy eyes,Runny nose,Swelling,Allergy,Rabbit
Jaundice,Fatigue,Nausea,Headache,Muscle pain,Malaria,Lion
Chest tightness,Coughing,Shortness of breath,Wheezing,None,Asthma,Lion
Fatigue,Pain behind the eyes,Dengue Hemorrhagic Fever,Muscle and joint pain,Severe headache,Dengue,Moos
Abdominal pain,Diarrhea,Rose-colored spots,Fatigue,Headache,Typhoid,Elephant
Wheezing,Chest tightness,Shortness of breath,Coughing,None,Asthma,Deer
Weight loss,Persistent cough,Blood in cough,Fever (evening),Loss of appetite,Tuberculosis,Mammal
Rash,Nausea,Headache,Fatigue,High fever,Chikungunya,Donkey
Muscle or body aches,Diarrhea,Runny nose,Vomiting,Fatigue,Flu,Wolves
Vomiting,Dry Cough,Runny nose,Diarrhea,Sore throat,Flu,Birds
Runny nose,Mild cough,Sore throat,Mild fatigue,Sneezing,Cold,Cat
Fatigue,Shortness of breath,Dry cough,Chills,Nausea,COVID-19,Moos
Diarrhea,Weakness,Rose-colored spots,Abdominal pain,Fatigue,Typhoid,Donkey
Persistent cough with mucus,Wheezing,Mild fever,Chest discomfort,Fatigue,Bronchitis,Tiger
Skin rash,Swelling,Runny nose,Itchy eyes,Sneezing,Allergy,Donkey
Weakness,Rose-colored spots,Prolonged high fever,Fatigue,Headache,Typhoid,Duck
Mild fatigue,Runny nose,Sore throat,Mild fever,Sneezing,Cold,Duck
Weakness,Vomiting,Stomach cramps,Nausea,Bloody diarrhea,Food Poisoning,Horse
Severe headache,Rash,Muscle and joint pain,Mild bleeding,Dengue Hemorrhagic Fever,Dengue,Hyaenas
Vomiting,Headache,Fatigue,Muscle pain,High fever with chills,Malaria,Chicken
Night sweats,Loss of appetite,Weight loss,Fatigue,Blood in cough,Tuberculosis,Mammal
Runny nose,Sneezing,Itchy eyes,Swelling,Skin rash,Allergy,Dog
Runny nose,Sneezing,Mild fatigue,Sore throat,Mild fever,Cold,Deer
Coughing,Wheezing,Shortness of breath,Chest tightness,None,Asthma,Wolves
Rash,High fever,Fatigue,Severe joint pain,Headache,Chikungunya,Cattle
Dry cough,Chills,Loss of taste or smell,Muscle aches,Fatigue,COVID-19,Fowl
Blood in cough,Night sweats,Fatigue,Weight loss,Fever (evening),Tuberculosis,Fowl
Chest discomfort,Wheezing,Chills,Mild fever,Persistent cough with mucus,Bronchitis,Cat
Runny nose,Mild cough,Sore throat,Sneezing,Mild fatigue,Cold,Elephant
Fatigue,Dengue Hemorrhagic Fever,Rash,Mild bleeding,Pain behind the eyes,Dengue,Turtle
Shortness of breath,Nausea,Fever,Fatigue,Loss of taste or smell,COVID-19,Hamster
Fatigue,Severe joint pain,Muscle pain,Rash,High fever,Chikungunya,Snake
Runny nose,Swelling,Skin rash,Sneezing,Itchy eyes,Allergy,Horse
Runny nose,Sore throat,Headache,Muscle or body aches,Chills,Flu,Cat
Fatigue,Shortness of breath,Muscle aches,Dry cough,Fever,COVID-19,Wolves
Abdominal pain,Weakness,Rose-colored spots,Fatigue,Constipation,Typhoid,Cow
Diarrhea,Shortness of breath,Loss of taste or smell,Dry cough,Nausea,COVID-19,Buffaloes
Sweating,Jaundice,Headache,Muscle pain,Vomiting,Malaria,Deer
Stomach cramps,Diarrhea,Weakness,Bloody diarrhea,Fever,Food Poisoning,Duck
Sore throat,Sneezing,Mild fatigue,Mild cough,Runny nose,Cold,Fowl
Persistent cough with mucus,Chills,Mild fever,Chest discomfort,Wheezing,Bronchitis,Horse
Chest pain,Chills,Shortness of breath,High fever,Confusion,Pneumonia,Buffaloes
Prolonged high fever,Rose-colored spots,Constipation,Diarrhea,Fatigue,Typhoid,Monkey
Anemia,Jaundice,Fatigue,Vomiting,High fever with chills,Malaria,Fowl
Sweating,Headache,Nausea,Fatigue,Vomiting,Malaria,Donkey
Congestion,Loss of taste or smell,Fatigue,Fever,Muscle aches,COVID-19,Horse
Coughing,Chest tightness,Shortness of breath,Wheezing,None,Asthma,Elephant
Dehydration,Bloody diarrhea,Weakness,Nausea,Vomiting,Food Poisoning,Goat
Chest discomfort,Fatigue,Mild fever,Wheezing,Persistent cough with mucus,Bronchitis,Cow
High fever,Cough with phlegm,Confusion,Chest pain,Shortness of breath,Pneumonia,Mammal
Confusion,High fever,Fatigue,Chills,Cough with phlegm,Pneumonia,Lion
Weakness,Fever,Bloody diarrhea,Nausea,Vomiting,Food Poisoning,Birds
Mild fatigue,Mild cough,Sore throat,Sneezing,Runny nose,Cold,Hyaenas
Muscle pain,Fatigue,Severe joint pain,Rash,Headache,Chikungunya,Hamster
Prolonged high fever,Abdominal pain,Constipation,Rose-colored spots,Weakness,Typhoid,Cattle
Fatigue,Weight loss,Night sweats,Blood in cough,Loss of appetite,Tuberculosis,Hamster
Nausea,Vomiting,Dehydration,Fever,Bloody diarrhea,Food Poisoning,Donkey
Sneezing,Runny nose,Itchy eyes,Skin rash,Swelling,Allergy,Donkey
Diarrhea,Dry Cough,Fatigue,Vomiting,Fever,Flu,Elephant
Severe headache,Muscle and joint pain,Dengue Hemorrhagic Fever,Sudden high fever,Rash,Dengue,Horse
High fever,Nausea,Severe joint pain,Muscle pain,Fatigue,Chikungunya,Rabbit
Fever (evening),Blood in cough,Fatigue,Weight loss,Night sweats,Tuberculosis,Hyaenas
Skin rash,Itchy eyes,Runny nose,Swelling,Sneezing,Allergy,Duck
Vomiting,Nausea,Fatigue,Anemia,High fever with chills,Malaria,Dog
Chest tightness,Wheezing,Shortness of breath,Coughing,None,Asthma,Cattle
Weight loss,Loss of appetite,Fatigue,Night sweats,Blood in cough,Tuberculosis,Chicken
Diarrhea,Headache,Prolonged high fever,Fatigue,Constipation,Typhoid,Elephant
Persistent cough with mucus,Mild fever,Chills,Wheezing,Fatigue,Bronchitis,Elephant
Runny nose,Sore throat,Mild fever,Mild cough,Sneezing,Cold,Moos
Coughing,Wheezing,Shortness of breath,Chest tightness,None,Asthma,Deer
Nausea,Vomiting,Jaundice,Anemia,Headache,Malaria,Monkey
Nausea,Fever,Shortness of breath,Muscle aches,Fatigue,COVID-19,Cat
Chills,Dry cough,Shortness of breath,Fever,Sore throat,COVID-19,Birds
Congestion,Muscle aches,Chills,Fatigue,Fever,COVID-19,Buffaloes
Muscle pain,Headache,Nausea,High fever,Rash,Chikungunya,Birds
Mild fatigue,Runny nose,Sore throat,Sneezing,Mild cough,Cold,Rabbit
Fatigue,Rash,Pain behind the eyes,Sudden high fever,Dengue Hemorrhagic Fever,Dengue,Hyaenas
Muscle aches,Shortness of breath,Diarrhea,Loss of taste or smell,Congestion,COVID-19,Mammal
Headache,Chills,Runny nose,Vomiting,Muscle or body aches,Flu,Birds
Diarrhea,Fatigue,Prolonged high fever,Rose-colored spots,Weakness,Typhoid,Cow
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Mammal
High fever,Severe joint pain,Nausea,Headache,Muscle pain,Chikungunya,Buffaloes
Headache,Fatigue,Constipation,Abdominal pain,Rose-colored spots,Typhoid,Cattle
Bloody diarrhea,Nausea,Vomiting,Weakness,Dehydration,Food Poisoning,Birds
Dengue Hemorrhagic Fever,Muscle and joint pain,Sudden high fever,Severe headache,Mild bleeding,Dengue,Turtle
Muscle or body aches,Chills,Runny nose,Fever,Dry Cough,Flu,Birds
Prolonged high fever,Constipation,Diarrhea,Rose-colored spots,Headache,Typhoid,Buffaloes
Persistent cough,Loss of appetite,Weight loss,Fatigue,Fever (evening),Tuberculosis,Monkey
Muscle aches,Dry cough,Chills,Shortness of breath,Fever,COVID-19,Birds
Chills,Sore throat,Loss of taste or smell,Fatigue,Shortness of breath,COVID-19,Moos
Fever,Weakness,Stomach cramps,Bloody diarrhea,Dehydration,Food Poisoning,Wolves
Diarrhea,Rose-colored spots,Prolonged high fever,Constipation,Weakness,Typhoid,Monkey
Mild fatigue,Runny nose,Mild fever,Sneezing,Sore throat,Cold,Snake
Chills,Vomiting,Runny nose,Diarrhea,Muscle or body aches,Flu,Snake
Fatigue,High fever,Confusion,Shortness of breath,Chills,Pneumonia,Goat
Fatigue,Chills,Headache,Muscle or body aches,Fever,Flu,Dog
Fever (evening),Blood in cough,Persistent cough,Night sweats,Loss of appetite,Tuberculosis,Wolves
Shortness of breath,Chest pain,Fatigue,Cough with phlegm,Confusion,Pneumonia,Tiger
High fever,Rash,Fatigue,Muscle pain,Severe joint pain,Chikungunya,Goat
Weakness,Diarrhea,Abdominal pain,Prolonged high fever,Fatigue,Typhoid,Pig
Itchy eyes,Skin rash,Runny nose,Sneezing,Swelling,Allergy,Fowl
Persistent cough with mucus,Fatigue,Chills,Chest discomfort,Wheezing,Bronchitis,Birds
Mild fatigue,Sneezing,Mild cough,Sore throat,Runny nose,Cold,Donkey
Cough with phlegm,High fever,Confusion,Fatigue,Chills,Pneumonia,Horse
Weakness,Fever,Nausea,Bloody diarrhea,Stomach cramps,Food Poisoning,Cat
Cough with phlegm,Chest pain,Chills,Shortness of breath,Fatigue,Pneumonia,Buffaloes
Mild cough,Sneezing,Mild fatigue,Sore throat,Mild fever,Cold,Birds
Mild fever,Mild cough,Mild fatigue,Runny nose,Sore throat,Cold,Wolves
Skin rash,Runny nose,Sneezing,Itchy eyes,Swelling,Allergy,Turtle
High fever,Chest pain,Chills,Cough with phlegm,Shortness of breath,Pneumonia,Cattle
Coughing,Wheezing,Chest tightness,Shortness of breath,None,Asthma,Duck
Confusion,Shortness of breath,Cough with phlegm,Chest pain,High fever,Pneumonia,Donkey
High fever with chills,Vomiting,Jaundice,Muscle pain,Anemia,Malaria,Elephant
High fever,Headache,Severe joint pain,Fatigue,Rash,Chikungunya,Cat
Headache,Severe joint pain,Fatigue,High fever,Nausea,Chikungunya,Fox
Weakness,Nausea,Fever,Dehydration,Stomach cramps,Food Poisoning,Elephant
Nausea,Congestion,Shortness of breath,Fatigue,Chills,COVID-19,Sheep
Bloody diarrhea,Stomach cramps,Vomiting,Diarrhea,Weakness,Food Poisoning,Wolves
Itchy eyes,Runny nose,Sneezing,Swelling,Skin rash,Allergy,Wolves
High fever,Severe joint pain,Rash,Fatigue,Nausea,Chikungunya,Monkey
Mild cough,Sneezing,Mild fever,Runny nose,Sore throat,Cold,Buffaloes
Fever,Vomiting,Diarrhea,Weakness,Stomach cramps,Food Poisoning,Buffaloes
Runny nose,Itchy eyes,Skin rash,Swelling,Sneezing,Allergy,Pig
Congestion,Sore throat,Muscle aches,Fatigue,Fever,COVID-19,Buffaloes
Rash,Severe joint pain,High fever,Nausea,Muscle pain,Chikungunya,Birds
High fever,Severe joint pain,Fatigue,Muscle pain,Headache,Chikungunya,Buffaloes
Mild bleeding,Rash,Fatigue,Muscle and joint pain,Pain behind the eyes,Dengue,Horse
Vomiting,Sore throat,Fatigue,Dry Cough,Diarrhea,Flu,Cattle
Fever,Sore throat,Chills,Diarrhea,Headache,Flu,Turtle
Nausea,Bloody diarrhea,Stomach cramps,Dehydration,Diarrhea,Food Poisoning,Moos
Runny nose,Mild fatigue,Sore throat,Mild cough,Mild fever,Cold,Mammal
Persistent cough,Loss of appetite,Fever (evening),Fatigue,Night sweats,Tuberculosis,Sheep
Diarrhea,Fatigue,Runny nose,Sore throat,Vomiting,Flu,Buffaloes
Fatigue,Muscle or body aches,Fever,Chills,Dry Cough,Flu,Monkey
Runny nose,Swelling,Sneezing,Skin rash,Itchy eyes,Allergy,Buffaloes
Confusion,Chest pain,Fatigue,Cough with phlegm,High fever,Pneumonia,Fowl
Diarrhea,Dehydration,Nausea,Vomiting,Fever,Food Poisoning,Lion
Constipation,Weakness,Prolonged high fever,Rose-colored spots,Diarrhea,Typhoid,Duck
Night sweats,Fever (evening),Persistent cough,Weight loss,Fatigue,Tuberculosis,Goat
Headache,Diarrhea,Vomiting,Chills,Sore throat,Flu,Deer
Nausea,Severe joint pain,High fever,Fatigue,Rash,Chikungunya,Turtle
Nausea,Muscle pain,Rash,Headache,Fatigue,Chikungunya,Pig
Vomiting,Weakness,Fever,Dehydration,Bloody diarrhea,Food Poisoning,Hamster
Sore throat,Mild fatigue,Runny nose,Mild cough,Sneezing,Cold,Dog
Sudden high fever,Pain behind the eyes,Muscle and joint pain,Mild bleeding,Rash,Dengue,Sheep
Wheezing,Chest tightness,Shortness of breath,Coughing,None,Asthma,Deer
Mild fatigue,Sore throat,Mild cough,Mild fever,Sneezing,Cold,Goat
Fever,Chills,Diarrhea,Congestion,Dry cough,COVID-19,Cattle
Dehydration,Stomach cramps,Nausea,Vomiting,Diarrhea,Food Poisoning,Hamster
Muscle pain,Headache,Fatigue,Sweating,High fever with chills,Malaria,Birds
Fatigue,Rash,Headache,Nausea,High fever,Chikungunya,Sheep
Coughing,Wheezing,Shortness of breath,Chest tightness,None,Asthma,Chicken
Severe headache,Mild bleeding,Pain behind the eyes,Sudden high fever,Fatigue,Dengue,Sheep
Chills,High fever,Cough with phlegm,Confusion,Chest pain,Pneumonia,Fowl
Muscle pain,Headache,Nausea,Sweating,Vomiting,Malaria,Duck
Sweating,Headache,Anemia,High fever with chills,Jaundice,Malaria,Cattle
Diarrhea,Muscle or body aches,Sore throat,Fatigue,Runny nose,Flu,Deer
Sneezing,Sore throat,Mild cough,Mild fever,Runny nose,Cold,Fowl
Swelling,Runny nose,Sneezing,Skin rash,Itchy eyes,Allergy,Horse
Chills,Fever,Loss of taste or smell,Dry cough,Shortness of breath,COVID-19,Fowl
Muscle pain,Sweating,Vomiting,Fatigue,Headache,Malaria,Monkey
Nausea,Fever,Bloody diarrhea,Vomiting,Weakness,Food Poisoning,Elephant
Dry cough,Shortness of breath,Fatigue,Sore throat,Muscle aches,COVID-19,Birds
Rash,Muscle pain,Nausea,High fever,Severe joint pain,Chikungunya,Moos
Anemia,Jaundice,Sweating,Headache,Vomiting,Malaria,Hamster
Fever,Shortness of breath,Congestion,Chills,Dry cough,COVID-19,Snake
Rose-colored spots,Fatigue,Diarrhea,Abdominal pain,Constipation,Typhoid,Turtle
Fatigue,High fever,Muscle pain,Nausea,Rash,Chikungunya,Horse
Sore throat,Shortness of breath,Dry cough,Loss of taste or smell,Muscle aches,COVID-19,Buffaloes
Abdominal pain,Constipation,Diarrhea,Rose-colored spots,Fatigue,Typhoid,Fox
Chills,Fatigue,Sore throat,Muscle or body aches,Diarrhea,Flu,Goat
Prolonged high fever,Constipation,Diarrhea,Fatigue,Rose-colored spots,Typhoid,Birds
Fatigue,Diarrhea,Weakness,Abdominal pain,Headache,Typhoid,Goat
Muscle pain,Fatigue,High fever,Nausea,Severe joint pain,Chikungunya,Pig
Nausea,Muscle aches,Loss of taste or smell,Shortness of breath,Sore throat,COVID-19,Donkey
Nausea,Severe joint pain,High fever,Headache,Rash,Chikungunya,Dog
Sneezing,Swelling,Skin rash,Itchy eyes,Runny nose,Allergy,Moos
Shortness of breath,Chills,High fever,Fatigue,Cough with phlegm,Pneumonia,Fox
Nausea,Vomiting,Anemia,Headache,Fatigue,Malaria,Chicken
Diarrhea,Weakness,Fever,Vomiting,Stomach cramps,Food Poisoning,Cat
Vomiting,Muscle or body aches,Chills,Diarrhea,Fatigue,Flu,Hyaenas
Fatigue,Rash,Muscle pain,Headache,High fever,Chikungunya,Birds
Fever,Diarrhea,Muscle or body aches,Fatigue,Headache,Flu,Birds
High fever,Shortness of breath,Chest pain,Fatigue,Cough with phlegm,Pneumonia,Duck
Mild fatigue,Mild cough,Sore throat,Mild fever,Sneezing,Cold,Elephant
Swelling,Sneezing,Runny nose,Skin rash,Itchy eyes,Allergy,Horse
Prolonged high fever,Abdominal pain,Weakness,Headache,Fatigue,Typhoid,Mammal
Sore throat,Mild fatigue,Sneezing,Mild cough,Mild fever,Cold,Wolves
Confusion,Shortness of breath,High fever,Chills,Chest pain,Pneumonia,Pig
Jaundice,Headache,Nausea,Anemia,High fever with chills,Malaria,Cat
Diarrhea,Fatigue,Rose-colored spots,Abdominal pain,Weakness,Typhoid,Elephant
Wheezing,Coughing,Chest tightness,Shortness of breath,None,Asthma,Tiger
Loss of taste or smell,Dry cough,Chills,Shortness of breath,Diarrhea,COVID-19,Horse
Headache,Nausea,Severe joint pain,Rash,High fever,Chikungunya,Elephant
Vomiting,Diarrhea,Nausea,Fever,Stomach cramps,Food Poisoning,Deer
Sore throat,Chills,Vomiting,Diarrhea,Runny nose,Flu,Snake
Sneezing,Mild cough,Mild fatigue,Runny nose,Mild fever,Cold,Mammal
Swelling,Skin rash,Sneezing,Runny nose,Itchy eyes,Allergy,Elephant
Anemia,Nausea,Muscle pain,Fatigue,Vomiting,Malaria,Hamster
Headache,Fatigue,Rash,High fever,Muscle pain,Chikungunya,Mammal
Fever,Diarrhea,Chills,Dry Cough,Vomiting,Flu,Cat
Dry cough,Shortness of breath,Fever,Congestion,Muscle aches,COVID-19,Fox
Muscle pain,Vomiting,Jaundice,Fatigue,High fever with chills,Malaria,Buffaloes
Sneezing,Skin rash,Runny nose,Itchy eyes,Swelling,Allergy,Cattle
Sudden high fever,Fatigue,Pain behind the eyes,Mild bleeding,Muscle and joint pain,Dengue,Buffaloes
Coughing,Shortness of breath,Wheezing,Chest tightness,None,Asthma,Moos
Coughing,Shortness of breath,Chest tightness,Wheezing,None,Asthma,Monkey
Nausea,Headache,High fever with chills,Muscle pain,Fatigue,Malaria,Goat
Weakness,Constipation,Abdominal pain,Rose-colored spots,Headache,Typhoid,Horse
Chest pain,Fatigue,Chills,Cough with phlegm,Confusion,Pneumonia,Moos
Nausea,Diarrhea,Vomiting,Dehydration,Bloody diarrhea,Food Poisoning,Mammal
Fatigue,Dengue Hemorrhagic Fever,Mild bleeding,Sudden high fever,Rash,Dengue,Donkey
Anemia,Muscle pain,High fever with chills,Headache,Nausea,Malaria,Rabbit
Fever,Diarrhea,Stomach cramps,Weakness,Dehydration,Food Poisoning,Monkey
Vomiting,Nausea,Weakness,Fever,Stomach cramps,Food Poisoning,Chicken
Fever (evening),Persistent cough,Weight loss,Blood in cough,Loss of appetite,Tuberculosis,Snake
Fatigue,Headache,Weakness,Constipation,Abdominal pain,Typhoid,Snake
Loss of appetite,Fever (evening),Blood in cough,Weight loss,Fatigue,Tuberculosis,Moos
Runny nose,Sore throat,Mild cough,Mild fever,Sneezing,Cold,Monkey
Loss of appetite,Fatigue,Blood in cough,Night sweats,Fever (evening),Tuberculosis,Dog
Chills,Dry Cough,Diarrhea,Vomiting,Sore throat,Flu,Deer
Sneezing,Mild fever,Sore throat,Mild fatigue,Runny nose,Cold,Dog
Persistent cough,Weight loss,Night sweats,Fatigue,Fever (evening),Tuberculosis,Fowl
Pain behind the eyes,Muscle and joint pain,Severe headache,Dengue Hemorrhagic Fever,Sudden high fever,Dengue,Donkey
Runny nose,Fatigue,Chills,Diarrhea,Sore throat,Flu,Duck
Fatigue,Chills,Shortness of breath,Confusion,High fever,Pneumonia,Fowl
Fever (evening),Night sweats,Blood in cough,Persistent cough,Weight loss,Tuberculosis,Cow
Sudden high fever,Pain behind the eyes,Severe headache,Dengue Hemorrhagic Fever,Mild bleeding,Dengue,Lion
Confusion,Shortness of breath,High fever,Fatigue,Cough with phlegm,Pneumonia,Goat
Mild fatigue,Mild fever,Sore throat,Mild cough,Sneezing,Cold,Chicken
Jaundice,Fatigue,Headache,Vomiting,Muscle pain,Malaria,Donkey
Weakness,Fatigue,Prolonged high fever,Constipation,Rose-colored spots,Typhoid,Moos
Chills,Wheezing,Fatigue,Persistent cough with mucus,Chest discomfort,Bronchitis,Donkey
Fever,Chills,Diarrhea,Fatigue,Loss of taste or smell,COVID-19,Monkey
Stomach cramps,Vomiting,Nausea,Fever,Weakness,Food Poisoning,Rabbit
Shortness of breath,High fever,Confusion,Chills,Cough with phlegm,Pneumonia,Wolves
High fever,Rash,Nausea,Fatigue,Headache,Chikungunya,Cattle
Runny nose,Itchy eyes,Sneezing,Skin rash,Swelling,Allergy,Deer
Persistent cough with mucus,Fatigue,Wheezing,Chills,Chest discomfort,Bronchitis,Hamster
Pain behind the eyes,Dengue Hemorrhagic Fever,Rash,Sudden high fever,Fatigue,Dengue,Cattle
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Tiger
Mild cough,Sore throat,Mild fatigue,Mild fever,Sneezing,Cold,Buffaloes
Fatigue,Loss of taste or smell,Diarrhea,Fever,Shortness of breath,COVID-19,Donkey
Wheezing,Fatigue,Chills,Mild fever,Chest discomfort,Bronchitis,Elephant
Dehydration,Stomach cramps,Weakness,Nausea,Vomiting,Food Poisoning,Buffaloes
Fever,Dry Cough,Diarrhea,Headache,Sore throat,Flu,Monkey
Jaundice,Muscle pain,Nausea,Fatigue,Sweating,Malaria,Birds
Chills,Mild fever,Persistent cough with mucus,Wheezing,Fatigue,Bronchitis,Rabbit
Night sweats,Blood in cough,Persistent cough,Weight loss,Fever (evening),Tuberculosis,Mammal
Nausea,Bloody diarrhea,Stomach cramps,Weakness,Diarrhea,Food Poisoning,Fox
Weakness,Vomiting,Nausea,Fever,Stomach cramps,Food Poisoning,Mammal
Loss of appetite,Fatigue,Persistent cough,Blood in cough,Weight loss,Tuberculosis,Hamster
Persistent cough with mucus,Chills,Fatigue,Mild fever,Wheezing,Bronchitis,Chicken
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Snake
Diarrhea,Headache,Rose-colored spots,Weakness,Abdominal pain,Typhoid,Horse
Dengue Hemorrhagic Fever,Sudden high fever,Muscle and joint pain,Pain behind the eyes,Fatigue,Dengue,Chicken
Fatigue,Jaundice,Anemia,Headache,Sweating,Malaria,Cow
Vomiting,High fever with chills,Headache,Jaundice,Nausea,Malaria,Cow
Persistent cough with mucus,Chills,Chest discomfort,Mild fever,Wheezing,Bronchitis,Wolves
Congestion,Fever,Loss of taste or smell,Fatigue,Shortness of breath,COVID-19,Fox
High fever,Chills,Shortness of breath,Confusion,Cough with phlegm,Pneumonia,Cow
Chills,Persistent cough with mucus,Wheezing,Mild fever,Fatigue,Bronchitis,Birds
Sneezing,Itchy eyes,Runny nose,Skin rash,Swelling,Allergy,Goat
Shortness of breath,Coughing,Chest tightness,Wheezing,None,Asthma,Goat
Sneezing,Mild fever,Runny nose,Mild fatigue,Sore throat,Cold,Turtle
Mild fever,Sore throat,Runny nose,Sneezing,Mild cough,Cold,Lion
Swelling,Sneezing,Skin rash,Runny nose,Itchy eyes,Allergy,Horse
Fatigue,Vomiting,Sore throat,Muscle or body aches,Headache,Flu,Rabbit
Chills,Diarrhea,Nausea,Fatigue,Congestion,COVID-19,Mammal
Persistent cough with mucus,Chills,Mild fever,Wheezing,Chest discomfort,Bronchitis,Fowl
